ראשי תיבות,פירוש
    *   *Final check on מו"ל:* מוציא לאור; מוציא למורינו; מוסמך לו.

    *   *Final check on מו"נ:* מורה נבוכים; מנחה ונסך.

    *   *Final check on מו"ם:* מוכר סתימאה; מוחא סתימאה.

    *   *Final check on מו"פ:* מופת; מופר; מופלג; מופלא; מוכר פירות; משוה ופרוטה.

    *   *
מופ"ה,מופת הדור
מופה"ד,מופת הדור
מופ"ל,מופלג לן
מו"צ,מגן וצדקה; מורה צדק; ומשפט וצדקה
מוציה"ב,יום מוצאי הכיפורים
מוצי"ט,יום מוצאי טוב
מוצס"ת,ספר מוציאין תורה
מוצ"ש,מוצאי שבת
מוצש"ק,מוצאי שבת קודש
מוק"ד,מועד קטן; מדרש קדמות; מקום וקדושה; מקנה וקדשיו; מקדש וקדוש; מרום וקומה
מוק"ח,מוקפות חומה
מוק"י,קהלת מורשה יעקב
מו"ר,מורי ורבי; מורה ורבי
מור"ח,מורי ורבי חמי
מו"ש,מוצאי שבת; מועד ושבת; מוכה שמים; מורא שבת
מושז"ל,זרע מוציא לבטלה
מוש"ל,שבועה מוריש לבניו
מוש"ק,מוצאי שבת קודש
מות',מותר
מו"ת,מילה ותמיד; מוכרי תבואה
מות"ל,מותר לן
מות"ש,תסתיים ומי
ד - הלל. בית מחומרי.
    These are distinct abbreviations.

    *Wait, I missed "מחז"ל" and "מחכז"ל":*
    מחז"ל - לברכה; זכרונם חכמינו מאמר.
    מחכז"ל - לברכה; זכרונם חכמינו מאמר.
    These are distinct.

    *Wait, I missed "מחו"ט" again:*
    מחו"ט - טבילה. מחוקר.
    מחו"ט - מעשה. מחוקר.
    Combined: "טבילה; מחוקר; מעשה".

    *Wait, I missed "מח"כ" again:*
    מח"כ - כפרה; מחוקרי כף; מחאת משום כלב; מחיל כבוד; מחילת חכמים; משנת ביק; חברון.

    *Wait, I missed "מ"א" again:*
    (Checking the list one more time).

    *Final check on the CSV format:*
    Abbreviation,Meaning1; Meaning2; Meaning3...

    *One more check on Rashi script:*
    "מחדדס"ט" - "קומץ" (not קומק).
    "מחזה"ד" - "הדת" (not הלח).
    "מח"כ" - "ביק" (not כיק).
טורח מפני הצבור."
    I will use: "טורח מפני הצבור".

    *Wait, "מטולמ״ט":*
    Image: "מטולמ״ט ולא מטו מטו."
    I will use: "ולא מטו מטו".

    *Wait, "מטו״מ":*
    Image: "מטו״מ מטות ומסעי."
    I will use: "מטות ומסעי".

    *Wait, "מטות״ר":*
    Image: "מטות״ר תחת טובה משלם רעה."
    I will use: "תחת טובה משלם רעה".

    *Wait, "מט״ז":*
    Image: "מט״ז מטת זה, מטעם זה."
    I will use: "מטת זה; מטעם זה".

    *Wait, "מט״ח":*
    Image: "מט״ח מה טוב חלקנו."
    I will use: "מה טוב חלקנו".

    *Wait, "מטח״ו":*
    Image: "מטח״ו ויתרות חסרות טעמי מדרש."
    I will use: "ויתרות חסרות טעמי מדרש".

    *Wait, "מטטש״ה":*
    Image: "מטטש״ה שר מטט
מט"צ,מפני טורח הציבור
מטקש"א,מט' קבין של אחרים
מטקש"ח,מט' קבין של חברו
מטש"ה,שר מטטרון של הפנים
מטשע"ז,מה שנתעלם של טובו זה
מ"י,מה ילקוט; מדרש יהודה; מדבר יהודה; מטה יפה; מה ידידות; מה יחן; מי יששכר; מטה יוסף; מטה יצחק; מכל יופי; מכירה ישר; מלץ יי; מלחמות יי; מלך יון; מלכות ישרון; מליצת יהודה; מכתב ידעינן; מכא ישראל; משפר ישרים; מקלס יעקב; מנחת צדק; מענלי יבק; מעבר ישודי; מעיני יום; מעוט יו"ט; מעדני יי; מעשי ידיה; מעשה יהושע; ירחקוך מעשיך; יקרבוך מעשיך; מקרה יבום; מצות יי; מפעלות ישן; מרדכי יפה; מרדכי ישראל; משלי יהודה; משלי יחזקאל; מרכבת יד; מחנה ישועה; משמיע ישראל
מי"א,ילקוט מדרש אדם; ידי מעשי אליעזר
מ
מכ״א,מכתב אחד; מכל אדם; מכל אחריה; כי מר אחד; מכתב אליהו
מכא״ב,נמרומים; אדיר כמן מי
מכא״ה,הרחמים; אב כמן מי
מכאה״פ,הפועל; אל מכח
מכאו״ל,ולהבא; מכאן
מכא״ח,חכמים; אמרו מכאן
מכאל״ט,למד; אתה מכאן
מכ״ב,ברזל; מכת בכורות; מכות
מככ״ד,בדופן; מכה
מכבד״י,יפה; דין בית כח מה
מכב״י,משמרת יי; באלים כמן
מככ״ל,י לובן בשרא כסותא מוריקא (ביצה)
מככ״ם,בפעמים; מכה
מכ״ד,כתב מוביל דמי; כעומד מהלך; מכדי דומם; כאבן מוטל דכא; דהוא; כל מעשה דבר; מכל דמיהן
מכדא״ל,ליה; כדאית מר
מכדא״ם,לאפשר; מה כל
מכדא״ר,רחמנא; לאמר מה כל
מכדדשב״י,בן שמע
מכש״כ,מכל שכן
מכש״ע,מפני כבודן של עניים
מכש״ת,מעלת כבוד תפארתו
מכ״ת,מעלת כבוד תורתו;מכתב התחיה
מכת״ם,מנוחתו כבוד תהיה כבוד מנוחתו;משכבו תהיה כבוד מנוחתו
מל׳,מלכות;מלך;מלאים;מלשון
מ״ל,מה להלן;מה לאו;מאי לי;מושיב לו;מובטח למעלה;מובא לחודה;מזמור לך;מותר לצים;מיבעי ליה;מטה לויה;מחכה לחוץ;מי לימא;מי להוציא;מינו לטובה;מכוחו לנו;מכא לב;מכשול מעוט ליה;מקייע לעיל;מסור לסחור;מעשה לשון;מעשה לילה;מצי להפרישו;מצוין לעת;מעת כסף;מצרף לחכמה;מצרף למימר;משגב לשון;מרפא לנפש;מרפא למלך;משל לה;משכחת לדרך;מחוק לחם;משען למלך;משנה ליה;מתקיף לומר;מתחילין לנפש;מלא דמלא
מל״א,מ
מלי"ק,מלח "י" קדושה
מליי"ת,מלח "י" חנינא
מל"כ,משיל כלה
מלכ"י,מה לעס כי יבכו
מלכ"פ,כמה למעלה מבואר פעמים
מל"ל,מה לי לסקר; מה לי לומר; מה לי לשקר; מבית לועג משום ליליענבלום; ליב משה ללש
מללה"נ,מצות לאו ליהנות נתנו
מלל"ט,מה ליכא למשמע מינה
מלל"ג,מצות לאו ליהנות נתנו
מל"מ,מעשה מלאכה; לידי מביא; מלשון מקרא; מלשון מחשבה; משנה משנה; מקום למלך
מלמ"א,מלמיהב ארמלו
מלמה"ד,משל למה הדבר דומה
מל"מח,מלאכה מחשבה
מלמטלמ"ע,מלמעלה למטה
מלמ"ל,משנה למלך
מלמ"ת,מלמדי תינוקות
מלנ"ט,מליצה נמרצת
מל"ע,מלרע; מקום לפני עבר; לשון מערבי
מלעי',מלעיל
מלע"ם,מלוה על פה
מל"פ,מן לד פה
מלקד"
ממד"ש,מנחת מילה דוחה שבת
ממ"ה,מלכי מלך המלכים
ממה"ה,מלכי מלך מלכי הקדוש
ממההקב"ה,מלך מלכי המלכים הקדוש ברוך הוא
ממה"ט,ממין הטענה
ממה"ל,מראה מקום הוא לו
ממה"ם,מלכי מלך המלכים; מן המעשר
ממה"ק,מודעה - מחאה - הודאה - קנין
ממה"ש,מכל מנהגים השנה
ממוגהו"א,משנה מקרא גמרה הלכה ואגדה
ממו"ד,ממזר ודאי
ממו"ח,מועד מועדים וחולי
ממו"ב,מילי ומקמרטועי ממהדורי
ממומ"ב,מעשה מרכבה ומעשה בראשית
ממז"ר,מבית מלא זבחי ריב
ממ"ח,ממון מלח חסד
ממח"א,חקר מלאכות מ' אחת; חקר מלקיות אחת
ממטה"כ,טענת ממין הכפירה
ממ"י,משרים מגיד מקום ישן; מיוחד
ממ"כ,ממלכת כהנים; מ' מכות
ממכאה"פ
מנה״ז, מורה נבוכי הזמן; מנחת הזהב; מנוחת מזבח
מנה״י, מלך הכבוד סלה יקוד
מנה״מ, מנא הני מילי; מנחת המאור
מנהמ״ל, מנא הני מילי
מנה״ע, מנחת העומר
מנד״א, מנשה ואפרים
מנד״ב, מיכיה וביה
מנוה״ז, מנורת הזהב
מנוה״ט, מנורת הטהורה
מנוה״מ, מנורת המאור
מנו״ב, מנוחתו כבוד
מנו״מ, מנהל ומנהיג
מנומ״ד, מה נאמר מה נדבר
מנו״נ, מה נאמר מה נדבר; מנחת נדבה
מנ״ז, מיתת נזיר; מנחת זכרון; מנורת זהב
מנ״ח, מנחת חנוכה; נר מדליקין חנון
מנח״י, מנחת יהודה
מנח״ב, מנחת כהן; מנחת כליל
מנחנ״יס, מנחת נסכים
מנ״ט, משום נותן טעם
מנ״י, מנ
מסה״ב, מחורת הברזל; מסירת הגט.
מסה״ג, מקדש הגדולה; מסירת הגט.
מסה״ל, מקלח הלמוד.
מסה״מ, מקרא המקרה.
מסה״נ, מקירה הנפש.
מסה״ע, מקוף העולם.
מסהעוע״ם, ועד העולם מקוף.
מסה״פ, מקבוח הפעל.
מסה״ק, מקרה הקטנה; מקרה הקבלה; מקרה הקריאה.
מסה״ש, מקורח הש״ק.
מסו״ל, סמאל מלאך ולילית.
מסו״מ, מקיח ומדיח.
מסו״ע, קיסון מלחמה ומוג.
מס״י, מקלח ישרים.
מס״ב, מסכת: -כלה; -כלאים; -כלים; -כריתות; -כתובות.
מס״ל, מקלח ליה; מקייע קרי לתורה.
מסלפ״ת, לפי מקיח תומו.
מסל״ת, לפי מקיח תומו.
מס״מ, מקירת מערכיות; מקורה מודעה.
מס״נ, מקירת נזיר; -נדרים; -נדה; -נגעים; -נזיר.
מס״ס, מקורה סופ
מעב"ר,מעשה בראשית; מעניש ברשעה
מעבש"ק,מעל שתי קטרות
מע"ג,מעין ג'; מעין גדוליס; מעובד גוי
מעג"ל,מעל גבי לבנה
מעג"צ,מעגלי צדק
מענ"ק,מעל גבי קרקע
מע"ד,מעשה דעמו; על מעביר דמים
מעד"ב,עמא מאי דבר
מעדו"ט,מעשה ומחשבה; דבור מעשה
מעדיו"ט,יום מעדני טוב
מעדי"ט,יום מעדני טוב
מעד"ט,מעדני מלך
מעד"ר,מערבים דרומיים
מעדש"ט,מעין דוגמא של מעלה
מע"ה,מעלה עליו; מעלה האמה; על מורה הכהן; מעין הכתוב; מעין הלכה; מעין השלום; עליו משה הכהן
מעה"ב,מעין הברכות; מעין עולם הבא
מעה"ד,מעין הדעה
מעה"ח,מעין החכמה; מעין החתימה
מעה"י,מעיני הישועה
מעה"כ,מעלה עליו; מעין הכתוב; מראה הכהן
מעה"ט,מע
מעכש"ת,מעלת כבוד שם תפארתו
מעכ"ת,מעלת מעלת כבוד תורתו; מעלת כבוד תפארתו
מעכת"ה,מעלת כבוד תורתו [תפארתו] הרמה
מעל',מעלתו
מע"ל,מאי עביד עצמו לדעת; מאי עביד ליה; מעבר לדף; מעבר ליה; מעידן לילה; מעוט ליל; מעבר לסתור; מעשה לשון; מעשה לעידן; מקשה עצמו לדעת; מעת לעת; מעלה עולם לחוס
מעל"ד,מעבר לדף
מעל"ה,עליו מעלה הכתוב
מעלי"ל,לא יוכל לתקון
מעל"ב,מעלת כבודו
מעל"ע,מעידן לעבר; מעבר לעידן; מעת לעת; מעיר לעיר
מע"מ,על מעביר ממצא; על מחצא; מלאכתן; מעין מלך; מעדני מדותיו; מרכבה; מעשה מעותיו; על מעמיד מכת; על מתנה מה; על מתנה מדותיו; על מתרעם
מעמד"ן,מן מעשר המעשר
מעמד"ם,הר מעמד סיני
מעמד"ת,מן עשה מצות התורה
משאצל"ג,מלאכה שאינה צריכה לגופה
משא"ק,מנהג ספרדים אנדאלוזיען קאטאלואניען
משאק"ב,מה שקנתה אשה קנה בעלה
משארז"ל,מה שאמרו רבותינו זכרונם לברכה
משאת"ל,מה שבן אדם אומר לחברו
מש"ב,מי שבפניו; שלא מחמת נשבתו; מרבין בו; שיש מפני שברן; משום בטלה; שכר משום בעולם; שלום בצדה
משב"ג,משנה שבגמרא
משב"ז,משבצות זהב
משבע"ש,מי שיש לו שטר שבת בערב יאכל בשבת
מש"ג,משלם גמול; שמואל מרדכי
משגע"ח,מריבה שכרות גרושת עזות חצופה ערבוביא
משנ"ר,משגב רעהו
משדו"ה,ד' משלם וה'
משד"ל,מה משלומה לו
משד"ש,מאי שייר להא
מש"ה,מה השם; מה השירים; מה הטבע; שאמר הכתוב; שמא מחלוקת הפכים שייר
משה"א,מדרש שיר השירים
משה"ב,משמרת הבית
מש"ה ב"ר,משה בר רשותו שקורא בו הכתוב לא יצא ידי חובתו
משה"ד,משורת הדין
משהומה"ג,משיב הרוח ומוריד הגשם
משהז"ג,שהזמן גרמא
משה"ח,משגיח החברא
משה"ט,מה שהיה טמא; משפטי הטעמים
משה"כ,משום הכתוב
משה"ק,משל הקדמוני; שלוח מצות הקדש
משהק"ם,משה הקטן סופר
משהק"ש,משה הקטן שלמון
משה"ר,משיב הרוח
משו"ה,משורת הדין; משום הכי
משוה"ד,משורת הדין
משוה"ע,מה שהיה העולם
משו"ט,משוחרר טוב
משויל"מ,מי שאינו מחויב שבועה משלם
משו"מ,משכב ומושב ומתפלל ומתודה
משו"ם,משום פרוטה; משוח פנים
משו"ק,משלי ושיר השירים וקהלת
מש"ז,משום זה; משום זהב; משבצות שזבו; משכב זוגות; מי שזכה
מש"ז זו,
מצאי,משיחה אשור מצרים; מלוה חסד ישראל
מצא״ש,אצל מצוין שחיטה
מצא שמ״ה,אצל מצוין שחיטה הן מומחין
מצב״נ,בני מצות נח
מצכ״ש,מצוה מצויה בשעתה
מצ״ג,מצוה גדולה; מציאות גמורה
מצגו״ט,מצוה גוררת מצוה
מצ״ד,מצודה דוד
מצ״ה,מצד השם; צבאות מאמר; מצד היושר
מצה״ב,מלוה הבאה בעבירה
מצהבכ״ע,מצוה הבאה בעבירה
מצה״ד,מצד הדין
מצה״י,מצד מלוה היושר; מצד השם יתברך
מצה״ר,מצד מצה הרוח
מצהש״י,מצות יתברך השם; מציאות יתברך השם
מצו״י,מצודת ישכר
מצו״ט,מצה ומרור
מצומע״ט,מצות ומעשים טובים
מצו״ע,מצווה ועושה
מצו״ם,מצודתו פרושה
מצו״ת,מצות ציצת מילה ותפלי
מים, מדת רוח, מדרש רבה מושכל רבן, מורא ראית, מת רחמים, מים רגלים, מי רע, מזג ראשון, רוח, מים רבים, מים ראשונים, מים רצון, מוח רותחין, מלח רחמים, מלח רחמים, מעלה רן, מענה רבי, מעשה רוקח, מעשה רב, מרבה רבינו, מפי ראשון, מעשר רבינו, משת רוח, מרת רגלים, מחי רם, משפחת ראשונה, משנה רעב."
